,driver_id,trip_count,total_trip_duration,total_trip_distance,number of days
2970,294d2aed8794c8ba536d4c53cd071b96dd0bb529c2936072cad1a42ab13c53f1,16,29502.0,70.33999999999996,6
2971,294d79023056186cc3bd970a974a1597bc771ec1bfae8b9a9bbe288ce3712c31,30,30105.0,153.17,8
2972,295086469da28bde0fceccba461d9237adad39e17eb6e39eb2f2e21b8660e059,91,173561.0,799.2299999999997,18
2973,2951fc832fde7018709e4b239fa10a7834bdd1be208a1dda0a1b94e64aae2488,4,4007.0,17.179999999999996,4
2974,29551683ba9b772adaf14a5127d7d78be2cde82dbbb678c2aa641a14e46f7e24,31,53097.0,193.10999999999981,11
2975,295c42120268bb5dfde2ba41e1fac0cf34502d77ddcba16505f429359e86e253,8,24032.0,138.49999999999983,9
2976,295f3273bfb881189ad4cc10c89b25717575489e334a1697451a2910c6c06ece,6,5590.0,25.229999999999993,10
2977,296ce787cc064ce1b5dae06b7bf77b8a49cf8f92ab5e01a82b210aca0d523a12,38,53387.0,187.22999999999993,8
2978,297790fd7247746876bcc20a772966f75dfc0252e2ff7a4b9e5f8cd9090c129b,20,48257.0,174.60999999999981,8
2979,297bc0051bb3884c0c62df52fd485fa4d48d7552566edda3cb5536096471445a,1,944.0,4.589999999999997,1
2980,297c74ef8f122e80a52f30713a203405229ef21f6a2c7feabe6bf89cd8305697,12,24811.0,98.8399999999999,8
2981,297e5ba93c5c9d5a048fd8d7eee0ec721863896b8f4a28eb7298423b62526fa6,36,68873.0,222.74999999999983,9
2982,297ee169eca74d7ca42ca533f02cce5ae62ca058db549551d24a2c2099216f4b,21,39103.0,192.7499999999999,12
2983,297eedb4ccaa4d4a0e430f2be7f4d74a63d6ae2fc619f348932412a8e4f4cbcd,25,21196.0,108.09999999999997,13
2984,297f9c68f7604cdb364c06fea27a2f0d847e1c9e316b9bc53f69c112bf745d73,4,9446.0,14.349999999999989,2
2985,29818503dfe9aaa8a072d4a3b451cefb78b12283ea80758d3ca1ddae25d501f2,10,29060.0,100.43999999999991,7
2986,29878066aed7e504c5386f64cabe7c80be464ae4d615e01ffeb286a6e83c9352,55,96260.0,390.13999999999976,12
2987,29899addb081e6d0d203f446672e0962af94374e65bde93d3ed800fafee9d98d,5,8356.0,41.33999999999996,3
2988,298d16763677f908f27ed060d70e1180a73e5c58d475a2e5fef148ad637491ef,14,9596.0,31.25,3
2989,2991e57daae0e8100e157e6eb8f5c0fedd82ece68f17ee9bea00da915e0a6488,47,56678.0,194.5999999999999,17
2990,29921c01b5e65190c10a6686586f6240df9b2cb49a22deed4d72173c3bce1010,3,3278.0,12.939999999999996,2
2991,299272fb81e785a70f3f55a484287d40bc7ebb5337dd4a7d86b193ac47af942d,11,10454.0,34.639999999999986,6
2992,29934e1f262bb3a96f3fe4c7633f3f47d0a267e621083910c653098bbc6b385d,30,54156.0,234.83999999999978,10
2993,29970347b7b76230b554d1c191085b1ee13eaeb8dda4a4619cb079ab7d2f2f8a,181,237145.0,714.7099999999996,15
2994,299745bde57008fbfdc0d5e1df5746e9b04611c93ae8ee54457e1034973b8c9a,4,3835.0,17.009999999999994,7
2995,299ae77a4ef350ae0dd37d6bba1c002d03444fb1edb236b341962dec14cb4bb4,120,135343.0,513.7799999999997,15
2996,299d8425d61ad84cc1a4553d28eb4a5cbc5df967f67ab940b3d2e6ef5539e6a3,8,11214.0,46.99999999999997,5
2997,29a10986281ddc88da9f79fdb9ca9295687577f5fe86fc7e5825796797f05040,61,118558.0,459.70999999999987,13
2998,29a5edead1de6932b3e63149564986b19f58c18a0c383400c33c5343cd148af5,119,153271.0,504.3299999999998,12
2999,29a85e5caa5a29ce2e77251fbe2614e6583481afd0676210dcdfd1e3e5929fa9,2,696.0,0.9400000000000004,2
3000,29b2717e8295e829596d6e52522bb504d0184b85f86a26f7df3fd3867a0aaeb9,5,11760.0,61.71000000000002,9
3001,29be6f7da1ee8e7620770a6c6658d94570aa3312b9fa9b37be7c829d509112f1,108,107082.0,466.65999999999985,13
3002,29bf8cd76285e79eda64823e20492b46a3646c6e5a11ceb362b28d63d7e01f38,7,5405.0,14.120000000000001,7
3003,29c28643a7f81021f6487527a9b3c47f098a059d154dcd4a9c83127c550f0b3d,97,125816.0,567.1499999999996,13
3004,29ca8ded807ec6d73f5f927884e3f58da1b107c216c4eecb208cc2d06f1ed729,10,15559.0,58.459999999999965,3
3005,29cb721b7c05d634df6e5d16a3c08911792e0d3f060f67c5840727523d01eefc,4,4321.0,18.369999999999997,2
3006,29ce7798c709b2090c8bbdcf4884e1ae44e92929afa7c3cf85722a14507aafb2,13,29526.0,111.78999999999996,10
3007,29d263118841cffc713c742506a9986c5ee8680c85a8cd28ebde302adc8dd551,2,5041.0,13.209999999999988,4
3008,29d26371b2f0b51a522e432a712dffd58cd95ec87b4c161f4397955b17495ed0,4,9826.0,28.96999999999995,12
3009,29d35ded5c15ebac396596eb21f43e8de1fbcea3001ddeded2bd01196438e79f,23,22085.0,84.54999999999997,2
3010,29d810aaba7f726e043a32f852c9882802b630430a7f48e21f9371675e8d7a06,62,38986.0,102.80999999999999,11
3011,29d9b05a2cbfabe9ddb81c05e1fcc5cb4d0a9b8dbebd84fa84fc98b9fa0fc11d,3,3509.0,26.849999999999987,2
3012,29e877abb8b2bd592423d13ce91f911f54440d2de4149091877acdfe2c9c5c43,7,19814.0,44.029999999999944,9
3013,29e9c2af096832295f5fc0ec20495a97b43b8451a6320573cb8a55a45c9471f0,17,13929.0,45.52999999999999,10
3014,29f2f76d883ebace3d2ce8db025090e058a9a2a3da6c9ed936e7a6aa3fba6f3d,1,2428.0,0.0999999999999999,3
3015,29f3996720cea1f7efa16c28cf45cc9b41a8a79b5ed3195d874c26fe08233bcd,11,24818.0,95.0599999999998,11
3016,29f5c501a6c0e0ac37415ff500b0e80a69df4c34cac6fb794f72c1081713deca,22,46114.0,145.05999999999995,13
3017,29fa971ae3082ba6f15f07aedcdd6dcfc148a69c09ad7d58d9cfcf0c8d69e6fd,145,87957.0,288.17,16
3018,29fd1775e611103eab8880262b59733c24b59c44fc7002e2802bbbd12076bbaa,95,88863.0,251.35999999999993,19
3019,29fef91ea9123ed10aaab390e3cff3faba34b198c4844fc605dd5dc1c07cea13,64,92450.0,328.69999999999976,14
3020,2a00306bcb1e8a398dc49802d190a41332ee80eea992fd4acf6e8d1eecaaffb0,15,27474.0,52.139999999999986,10
3021,2a008181074571203a4490637e3e6c1732eca47c88e9edf208b9bcf7929e13b7,7,14494.0,50.609999999999985,7
